name	pgn
Hungarian Opening: Reversed Brooklyn Defense, Brooklyn Benko Gambit	1. g3 e5 2. Nf3 e4 3. Ng1 Nf6 4. b4
Hungarian Opening: Reversed Modern Defense	1. g3 d5 2. Bg2 c5
Hungarian Opening: Reversed Norwegian Defense	1. g3 e5 2. Nf3 e4 3. Nh4
Hungarian Opening: Sicilian Invitation	1. g3 c5
Hungarian Opening: Slav Formation	1. g3 d5 2. Bg2 c6
Hungarian Opening: Symmetrical Variation	1. g3 g6
Hungarian Opening: Van Kuijk Gambit	1. g3 h5 2. Nf3 h4
Hungarian Opening: Winterberg Gambit	1. g3 d5 2. Bg2 e5 3. c4 dxc4 4. b3
Kádas Opening	1. h4
Kádas Opening: Beginner's Trap	1. h4 d5 2. Rh3
Kádas Opening: Kádas Gambit	1. h4 c5 2. b4
Kádas Opening: Kádas Gambit	1. h4 d5 2. d4 c5 3. Nf3 cxd4 4. c3
Kádas Opening: Kádas Gambit	1. h4 e5 2. d4 exd4 3. c3
Kádas Opening: Myers Variation	1. h4 d5 2. d4 c5 3. e4
Kádas Opening: Schneider Gambit	1. h4 g5
Kádas Opening: Steinbok Gambit	1. h4 f5 2. e4 fxe4 3. d3
Lasker Simul Special	1. g3 h5
Mieses Opening	1. d3
Mieses Opening: Myers Spike Attack	1. d3 g6 2. g4
Mieses Opening: Reversed Rat	1. d3 e5
Polish Opening	1. b4
Polish Opening: Baltic Defense	1. b4 d5 2. Bb2 Bf5
Polish Opening: Birmingham Gambit	1. b4 c5
Polish Opening: Bugayev Advance Variation	1. b4 e5 2. Bb2 f6 3. b5
Polish Opening: Bugayev Attack	1. b4 e5 2. a3
Polish Opening: Czech Defense	1. b4 e5 2. Bb2 d6
Polish Opening: Dutch Defense	1. b4 f5
Polish Opening: German Defense	1. b4 d5 2. Bb2 Qd6
Polish Opening: Grigorian Variation	1. b4 Nc6
Polish Opening: Karniewski Variation	1. b4 Nh6
Polish Opening: King's Indian Variation	1. b4 Nf6 2. Bb2 g6
Polish Opening: King's Indian Variation, Schiffler Attack	1. b4 Nf6 2. Bb2 g6 3. e4
Polish Opening: King's Indian Variation, Sokolsky Attack	1. b4 Nf6 2. Bb2 g6 3. c4 Bg7 4. e3 d6 5. Nf3 O-O 6. d4
Polish Opening: Myers Variation	1. b4 d5 2. Bb2 c6 3. a4
Polish Opening: Outflank Variation	1. b4 c6
Polish Opening: Queen's Indian Variation	1. b4 e6 2. Bb2 Nf6 3. b5 b6
Polish Opening: Queenside Defense	1. b4 e6 2. Bb2 Nf6 3. b5 a6
Polish Opening: Rooks Swap Line	1. b4 e6 2. Bb2 Nf6 3. b5 a6 4. a4 axb5 5. axb5 Rxa1 6. Bxa1
Polish Opening: Schiffler-Sokolsky Variation	1. b4 e6 2. Bb2 Nf6 3. b5 d5 4. e3
Polish Opening: Schuehler Gambit	1. b4 c6 2. Bb2 a5 3. b5 cxb5 4. e4
Polish Opening: Symmetrical Variation	1. b4 b5
Polish Opening: Tartakower Gambit	1. b4 e5 2. Bb2 f6 3. e4
Polish Opening: Wolferts Gambit	1. b4 e5 2. Bb2 c5
Saragossa Opening	1. c3
Sodium Attack	1. Na3
Sodium Attack: Chenoboskion Variation	1. Na3 g6 2. g4
Sodium Attack: Durkin Gambit	1. Na3 e5 2. Nc4 Nc6 3. e4 f5
Valencia Opening	1. d3 e5 2. Nd2
Van Geet Opening	1. Nc3
Van Geet Opening: Battambang Variation	1. a3 e5 2. Nc3
Van Geet Opening: Billockus-Johansen Gambit	1. Nc3 e5 2. Nf3 Bc5
Van Geet Opening: Caro-Kann Variation, St. Patrick's Attack	1. Nc3 d5 2. e4 c6 3. h3
Van Geet Opening: Damhaug Gambit	1. Nc3 d5 2. f4 e5
Van Geet Opening: Dougherty Gambit	1. Nc3 d5 2. e4 dxe4 3. f3
Van Geet Opening: Dunst-Perrenet Gambit	1. Nc3 d5 2. e4 dxe4 3. d3
Van Geet Opening: Düsseldorf Gambit	1. Nc3 c5 2. b4
Van Geet Opening: Gladbacher Gambit	1. Nc3 e5 2. b3 d5 3. e4 dxe4 4. d3
Van Geet Opening: Hector Gambit	1. Nc3 d5 2. e4 dxe4 3. Bc4
Van Geet Opening: Hergert Gambit	1. Nc3 d6 2. f4 e5 3. fxe5 Nc6
Van Geet Opening: Hulsemann Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Be6
Van Geet Opening: Jendrossek Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 f5 4. Nf2 Nf6 5. Nf3 c5 6. b4
Van Geet Opening: Kluever Gambit	1. Nc3 f5 2. e4 fxe4 3. d3
Van Geet Opening: Laroche Gambit	1. Nc3 b5
Van Geet Opening: Liebig Gambit	1. Nc3 e5 2. e3 d5 3. Qh5 Nf6
Van Geet Opening: Melleby Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 c5
Van Geet Opening: Myers Attack	1. Nc3 g6 2. h4
Van Geet Opening: Napoleon Attack	1. Nc3 e5 2. Nf3 Nc6 3. d4
Van Geet Opening: Novosibirsk Variation	1. Nc3 c5 2. d4 cxd4 3. Qxd4 Nc6 4. Qh4
Van Geet Opening: Nowokunski Gambit	1. Nc3 e5 2. f4 exf4 3. e4
Van Geet Opening: Pfeiffer Gambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5
Van Geet Opening: Pfeiffer Gambit, Sleipnir Countergambit	1. Nc3 d5 2. f4 d4 3. Ne4 e5 4. Nf3
Van Geet Opening: Reversed Nimzowitsch	1. Nc3 e5
Van Geet Opening: Reversed Scandinavian	1. Nc3 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qa4
Van Geet Opening: Sicilian Two Knights	1. Nc3 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4
Van Geet Opening: Sleipnir Gambit	1. Nc3 d5 2. e3 e5 3. d4 Bb4
Van Geet Opening: Twyble Attack	1. Nc3 c5 2. Rb1
Van Geet Opening: Tübingen Gambit	1. Nc3 Nf6 2. g4
Van Geet Opening: Venezolana Variation	1. Nc3 d5 2. d3 Nf6 3. g3
Van Geet Opening: Warsteiner Gambit	1. Nc3 d5 2. f4 g5
Van't Kruijs Opening	1. e3
Van't Kruijs Opening: Bouncing Bishop Variation	1. e3 e5 2. Bc4 b5 3. Bb3
Van't Kruijs Opening: Keoni-Hiva Gambit, Akahi Variation	1. e3 e5 2. Nc3 Nf6 3. f4 exf4 4. Nf3
Van't Kruijs Opening: Keoni-Hiva Gambit, Alua Variation	1. e3 e5 2. Nc3 Nc6 3. f4 exf4 4. Nf3
Van't Kruijs Opening: Keoni-Hiva Gambit, Ekolu Variation	1. e3 e5 2. Nc3 d5 3. f4 exf4 4. Nf3
Venezolana Opening	1. d3 c5 2. Nc3 Nc6 3. g3
Ware Opening	1. a4
Ware Opening: Meadow Hay Trap	1. a4 e5 2. Ra3
Ware Opening: Ware Gambit	1. a4 e5 2. a5 d5 3. e3 f5 4. a6
Ware Opening: Wing Gambit	1. a4 b5 2. axb5 Bb7
Nimzo-Larsen Attack	1. b3
Nimzo-Larsen Attack: Classical Variation	1. b3 d5
Nimzo-Larsen Attack: Dutch Variation	1. b3 f5
Nimzo-Larsen Attack: English Variation	1. b3 c5
